intersection_id,y_ge2,oof_score_random,oof_rank,screen_2021_count,screen_2021,screen_any_single_year_count,screen_any_single_year,screen_6yr_count,screen_6yr
9a3be86566325ba59b1bab6f8ca303d7,0,0.006070152390748262,5984,0,False,0,False,0,False
f46fe4fbf67b6d8031f9c3fe483db5f9,0,0.005638652481138706,14162,0,False,0,False,0,False
819556767158fe4973da9550edcc884c,0,0.006070152390748262,5985,0,False,0,False,0,False
5dd1439ecc875cfd13d90fd2d7051f15,0,0.005884240847080946,10071,0,False,0,False,0,False
0640e7bda9aeb912eae96d7da7a5c970,0,0.006070152390748262,5986,0,False,0,False,0,False
ee83366cb01817a47ecb2b4c2cd8ac9c,0,0.0053354287520051,22346,0,False,0,False,0,False
5305db0aabd1a398d49b9681f3c6fa18,0,0.006070152390748262,5987,0,False,0,False,0,False
abc4ba2623a8c5e5c4e216af36c53974,0,0.005386295262724161,18255,0,False,0,False,0,False
72e5ef5d6e7556e0418348fa29438470,0,0.06399299204349518,1638,0,False,0,False,2,False
dc5dae22b0929a5804feff4a31f93015,0,0.005386295262724161,18256,0,False,0,False,0,False
6517c6a21da5eda8a1012e98ca79f8cb,0,0.005884240847080946,10072,0,False,0,False,0,False
0f61ce257c7f2c098bfc5fe934623316,0,0.0053354287520051,22347,0,False,0,False,0,False
2b81996b923a1caf49563503a25d9489,0,0.006070152390748262,5988,0,False,0,False,0,False
536887236ed2742aa6a8631b5b9807cc,0,0.005386295262724161,18257,0,False,0,False,0,False
041900d98b7e26c0249f0a5f10dea12c,0,0.005638652481138706,14163,0,False,0,False,0,False
ae80f5d21efed29a04262efadb9b2b94,0,0.005638652481138706,14164,0,False,0,False,0,False
5c2a844cc5586dc6ca83391b2b65a609,0,0.02727651037275791,4463,0,False,1,False,1,False
d52543df1f843e9a6406780f6bfddb43,0,0.04547121375799179,2451,0,False,0,False,2,False
04473fc5d677bd4216c0eb7715623c1a,0,0.0053354287520051,22348,0,False,0,False,0,False
a6b32cd7534eaaba55db0caf160613a7,0,0.006070152390748262,5989,0,False,0,False,0,False
16614bade09f42da0804c53fc44c2dc3,0,0.0053354287520051,22349,0,False,0,False,0,False
7fe5a05eb90a0dbb931e88e14a240b24,0,0.0053354287520051,22350,0,False,0,False,0,False
8d68efb57c52a24b249b8ffdca46d89b,0,0.006070152390748262,5990,0,False,0,False,0,False
cb844ed9182b8028ff11418154a0c49d,0,0.005386295262724161,18258,0,False,0,False,0,False
474b4f3feaf1f6e979159340dab9f578,0,0.005884240847080946,10073,0,False,0,False,0,False
13175c5ee7c2d345124844ffd4575173,0,0.005638652481138706,14165,0,False,0,False,0,False
2ae988e5a3bc9282dbe5db3ca3f0bbb6,0,0.015239165164530277,5771,0,False,0,False,0,False
dbb53a1882a3aabf6e35cbd0c7c99db8,0,0.005638652481138706,14166,0,False,0,False,0,False
20255c26ac81542e7d9fea250ba1696e,0,0.005884240847080946,10074,0,False,0,False,0,False
fe7000e874a86f2f1c090160d29df05a,0,0.0053354287520051,22351,0,False,0,False,0,False
ef8dc9ccbf7a2114868f66c6070ccd56,0,0.04211774468421936,2624,0,False,1,False,1,False
e46989fa5ddf55c1d1f4cb01cbc8a484,0,0.0053354287520051,22352,0,False,0,False,0,False
66d09dcdc297d7396700b9969a693c9a,0,0.006070152390748262,5991,0,False,0,False,0,False
4f45314d720f84b6506a4b87ec50e3b7,0,0.005386295262724161,18259,0,False,0,False,0,False
280196c929e2503f1aa5e17c2cbee67a,0,0.006070152390748262,5992,0,False,0,False,0,False
131e910df9e839e6baee5dbb32c227b5,0,0.005884240847080946,10075,0,False,0,False,0,False
4fc64cd4cc4ae00a657d7160d3accc58,0,0.005638652481138706,14167,0,False,0,False,0,False
093d1c045a4a5dd447fbf920430aa28c,0,0.005386295262724161,18260,0,False,0,False,0,False
c9b7764d1bb68011f256be6089bfac5b,0,0.006070152390748262,5993,0,False,0,False,0,False
bec07b7809d97111dc8a6198bfa89a16,0,0.005386295262724161,18261,0,False,0,False,0,False
f0d250e26565944b41f3ff97bd2f606f,0,0.0053354287520051,22353,0,False,0,False,0,False
