rank,intersection_name,longitude,latitude,risk_score,percentile,in_top200
97,Normal Street & Washington Street,-117.147636,32.752795400000004,0.052525,99.9,True
98,Friars Road & Ulric Street,-117.16302780000001,32.7708467,0.052512,99.9,True
99,Genesee Avenue & Mount Herbert Avenue,-117.19066650000002,32.826411599999986,0.052507,99.9,True
100,16th Street & Island Avenue,-117.1494665,32.71046579999999,0.052484,99.9,True
101,Brant Street,-117.16664099999998,32.72742720000001,0.052315,99.9,True
102,Pacific Highway & West Grape Street,-117.1715066,32.72462279999999,0.052247,99.9,True
103,Nobel Drive & Towne Centre Drive,-117.20846080000001,32.865393800000014,0.052113,99.9,True
104,Carroll Canyon Road & Maya Linda Road,-117.11798159999998,32.903437399999994,0.052065,99.9,True
105,Santa Cruz Avenue & Sunset Cliffs Boulevard,-117.25051850000001,32.74136930000001,0.051994,99.9,True
106,Smythe Avenue & West San Ysidro Boulevard,-117.04945470000001,32.55442149999999,0.051932,99.9,True
107,Bacon Street & Voltaire Street,-117.2466322,32.75204130000001,0.051917,99.9,True
108,Boundary Street & University Avenue,-117.1231418,32.74850120000001,0.051834,99.9,True
109,Soledad Mountain Road,-117.22681980000002,32.807916399999996,0.051771,99.9,True
110,Fashion Valley Road & Hotel Circle North,-117.1691805,32.7611238,0.051518,99.9,True
111,Bucky Lane & North Highland Avenue,-117.102432,32.688351,0.051497,99.9,True
112,Morley Field Drive & Park Boulevard,-117.1474509,32.74020349999999,0.051372,99.9,True
113,5th Avenue & A Street,-117.1601851,32.718847400000016,0.051362,99.9,True
114,Camino del Norte & Paseo Montanoso,-117.0868739,33.00013120000001,0.051337,99.9,True
115,Orchard Avenue & Sunset Cliffs Boulevard,-117.25269099999998,32.7388464,0.051196,99.9,True
116,North Harbor Drive & Rosecrans Street,-117.22783540000002,32.726154399999984,0.050727,99.9,True
117,54th Street & Laurel Street,-117.0797688,32.7306645,0.050456,99.9,True
118,Benjamin Holt Road & South Woodman Street,-117.04806710000001,32.690947599999994,0.050447,99.9,True
119,Coronado Avenue & Green Bay Street,-117.0884275,32.57649529999999,0.050439,99.9,True
120,Glidden Street & Linda Vista Road,-117.1737385,32.775168300000004,0.050197,99.9,True
121,Catalina Boulevard & Niagara Avenue,-117.2379746,32.73751669999999,0.050197,99.9,True
122,32nd Street & Adams Avenue,-117.1249914,32.76337900000001,0.050189,99.9,True
123,Camino del Rio West & Gaines Street,-117.2048407,32.75299260000001,0.050169,99.8,True
124,43rd Street & Orange Avenue,-117.10193580000002,32.753193700000004,0.050145,99.8,True
125,Brighton Avenue & Sunset Cliffs Boulevard,-117.2447209,32.748099700000004,0.049857,99.8,True
126,Rancho Bernardo Road & West Bernardo Drive,-117.0822222,33.0237784,0.049795,99.8,True
127,Bolivar Street & Reo Drive,-117.06765239999999,32.678821699999986,0.049631,99.8,True
128,Friars Road & Northside Drive,-117.1279907,32.78411810000001,0.049482,99.8,True
129,8th Avenue & G Street,-117.15741700000001,32.7125866,0.049418,99.8,True
130,Ocean View Boulevard & South 38th Street,-117.112524,32.70127850000002,0.049116,99.8,True
131,Clairemont Mesa Boulevard & Diane Avenue,-117.18708190000001,32.83440120000003,0.048987,99.8,True
132,College Avenue & Montezuma Road,-117.0698069,32.77066460000001,0.048762,99.8,True
133,Saratoga Avenue & Sunset Cliffs Boulevard,-117.24615910000001,32.746427399999995,0.048674,99.8,True
134,5th Avenue & Elm Street,-117.16023299999999,32.724059900000015,0.048523,99.8,True
135,Sunset Cliffs Boulevard,-117.24194170000001,32.7513086,0.048511,99.8,True
136,Groveland Drive & Naranja Street,-117.079018,32.707713999999974,0.048475,99.8,True
137,Carmel Mountain Road & Rancho Carmel Drive,-117.0820695,32.979018500000016,0.048386,99.8,True
138,Palm Avenue & Twining Avenue,-117.04540409999998,32.5836904,0.048185,99.8,True
139,Mission Boulevard & Santa Clara Place,-117.25249765000333,32.78257500000927,0.048157,99.8,True
140,Columbia Street & West Broadway,-117.16738500000001,32.71563580000002,0.048,99.8,True
141,Carmel Valley Road & Rancho Santa Fe Farms Road,-117.17841030000001,32.968179,0.047973,99.8,True
142,La Jolla Village Drive & Towne Centre Drive,-117.2073625,32.874132399999986,0.047934,99.8,True
143,Collwood Boulevard & El Cajon Boulevard,-117.0793535,32.75788550000001,0.047861,99.8,True
144,La Jolla Village Drive & Villa La Jolla Drive,-117.23390140000001,32.87177869999999,0.047778,99.8,True
145,Mira Mesa Boulevard & Viper Way,-117.17422940000002,32.907142299999975,0.047514,99.8,True
146,43rd Street & University Avenue,-117.10201669999998,32.74963050000001,0.047449,99.8,True
147,Boulevard Place & El Cajon Boulevard,-116.97770830000002,32.784683599999994,0.047291,99.8,True
