rank,district,name,crashes,top_reason
605,3,Park Boulevard & Space Theater Way,1,Last crash ~5 years ago
611,3,Hazard Center Drive & Mission Center Road,0,Secondary arterial
616,3,Pershing Drive,3,Secondary arterial
618,3,25th Street & C Street,4,Secondary arterial
655,3,Lincoln Avenue & Ohio Street,3,Secondary arterial
669,3,Front Street & West Island Avenue,3,Secondary arterial
671,3,Hawthorn Street & Third Avenue,2,Secondary arterial
675,3,Normal Street,2,Arterial
682,3,India Street & West Fir Street,2,Secondary arterial
684,3,Arizona Street & Madison Avenue,3,Secondary arterial
700,3,Hotel Circle North & Hotel Circle Place North,2,Secondary arterial
704,3,University Avenue,0,Arterial
708,3,29th Street & University Avenue,4,Arterial
709,3,5th Avenue & Redwood Street,2,Secondary arterial
720,3,6th Avenue,1,Arterial
721,3,North Harbor Drive & West Hawthorn Street,2,Arterial
727,3,El Cajon Boulevard,2,Arterial
729,3,University Avenue,2,Arterial
740,3,Columbia Street & West A Street,4,Secondary arterial
743,3,Robinson Avenue & Robinson Place,2,Secondary arterial
744,3,Washington Street & West Washington Street,1,Arterial
753,3,Arizona Street & University Avenue,4,Arterial
757,3,24th Street & Broadway,2,Arterial
759,3,30th Street & Kalmia Street,2,Secondary arterial
773,3,6th Avenue & Apollo Way,2,Arterial
783,3,Camino del Rio North & Qualcomm Way,2,Arterial
785,3,1st Avenue & West Washington Street,1,Arterial
789,3,Hawk Street & West Washington Street,0,Arterial
792,3,1st Avenue & F Street,2,Secondary arterial
795,3,2nd Avenue & Fir Street,2,Transit stop 17 m away
796,3,State Street & West A Street,4,Secondary arterial
799,3,India Street & San Diego Avenue,1,Secondary arterial
801,3,8th Avenue & A Street,4,Secondary arterial
812,3,5th Avenue & Juniper Street,2,Transit stop 30 m away
813,3,Columbia Street & West Broadway,4,Arterial
820,3,3rd Avenue & A Street,3,Secondary arterial
823,3,9th Avenue & G Street,3,Secondary arterial
837,3,6th Avenue & Olive Street,2,Arterial
838,3,5th Avenue & Maple Street,2,Secondary arterial
841,3,2nd Avenue & Broadway Circle,2,Arterial
843,3,Brookes Avenue & West Brookes Avenue,3,Transit stop 12 m away
844,3,Camino del Rio North & Qualcomm Way,1,Arterial
847,3,29th Street & Date Street,2,4-leg intersection
855,3,Pacific Highway & West Grape Street,3,Arterial
858,3,5th Avenue & Palm Street,3,Secondary arterial
859,3,25th Street & E Street,3,Secondary arterial
860,3,Meade Avenue & Ohio Street,3,Secondary arterial
861,3,Pershing Drive,4,Secondary arterial
864,3,Andrews Street & West Washington Street,4,Arterial
873,3,India Street & West Palm Street,3,Secondary arterial
874,3,Park Boulevard & Russ Boulevard,3,Arterial
875,3,32nd Street & Landis Street,3,Secondary arterial
884,3,Mississippi Street & University Avenue,0,Arterial
886,3,30th Street & Date Street,2,Transit stop 20 m away
892,3,11th Avenue,1,Arterial
894,3,Florida Drive & Pershing Drive,3,Secondary arterial
899,3,Grim Avenue & Thorn Street,4,4-leg intersection
907,3,26th Street & B Street,4,Secondary arterial
911,3,8th Avenue & Robinson Avenue,1,Secondary arterial
918,3,Monroe Avenue & Park Boulevard,4,Transit stop 17 m away
921,3,6th Avenue & Fir Street,2,Arterial
933,3,4th Avenue & Pennsylvania Avenue,4,Secondary arterial
936,3,33rd Street & Upas Street,3,4-leg intersection
937,3,28th Street & A Street,2,4-leg intersection
940,3,West Fir Street & West Grape Street,2,Secondary arterial
944,3,Dale Street & Hawthorn Street,3,4-leg intersection
948,3,El Cajon Boulevard & Georgia Street,2,Arterial
965,3,8th Avenue & Cedar Street,1,4-leg intersection
970,3,5th Avenue & Thorn Street,2,Secondary arterial
971,3,9th Avenue & Ash Street,2,Secondary arterial
981,3,Hamilton Street & Polk Avenue,3,4-leg intersection
982,3,Kettner Boulevard & West Juniper Street,2,4-leg intersection
983,3,North Harbor Drive & West Harbor Drive,1,Arterial
1,4,National Avenue & South 40th Street,3,Arterial
17,4,Imperial Avenue,2,Arterial
39,4,47th Street & F Street,1,Secondary arterial
45,4,Detroit Place & Duluth Avenue,3,Secondary arterial
59,4,Chester Street & Lisbon Street,4,Secondary arterial
74,4,68th Street & Imperial Avenue,0,Arterial
75,4,East Market Street & Uvas Street,2,Arterial
77,4,Cardiff Street & Wade Street,3,Secondary arterial
81,4,Bullock Drive & South Woodman Street,2,Secondary arterial
82,4,South Euclid Avenue & Trinidad Way,2,Arterial
101,4,Bayview Heights Drive & Federal Boulevard,3,Secondary arterial
127,4,Alcona Street & South Woodman Street,4,Secondary arterial
128,4,Plaza Boulevard & South Woodman Street,3,Secondary arterial
140,4,Glencoe Drive & Jamacha Road,1,Secondary arterial
141,4,North R Avenue & South 47th Street,2,Secondary arterial
142,4,Chollas Parkway & Fairmount Avenue,1,Arterial
150,4,Car Street & Jamacha Road,4,Secondary arterial
160,4,Skyline Drive & Tuther Way,2,Secondary arterial
178,4,Ocean View Boulevard & South 46th Street,3,Secondary arterial
189,4,Skyline Drive & South Siena Street,4,Secondary arterial
207,4,Lisbon Street & Porter Street,4,Secondary arterial
211,4,La Paz Drive & South Euclid Avenue,3,Arterial
227,4,Brookhaven Road & South Meadowbrook Drive,4,Secondary arterial
231,4,Lisbon Street & Pons Street,1,Secondary arterial
234,4,Federal Boulevard & Mallard Street,4,Secondary arterial
254,4,Jamacha Road & Lincoln Place,2,Secondary arterial
255,4,50th Street & Imperial Avenue,0,Arterial
259,4,Alta View Drive & Parkside Avenue,3,Secondary arterial
283,4,Reo Drive & Winchester Street,2,Secondary arterial
289,4,Jester Street & Paradise Valley Road,4,Arterial
294,4,Jarrett Court & Logan Avenue,4,Arterial
295,4,Plaza Boulevard & South Woodman Street,3,Secondary arterial
301,4,63rd Street & Brooklyn Avenue,4,Transit stop 22 m away
309,4,Rancho Hills Drive & Reo Drive,4,Secondary arterial
312,4,Cumberland Street & Reo Drive,4,Secondary arterial
319,4,49th Street & Imperial Avenue,1,Arterial
327,4,Cardiff Street & San Felipe Street,4,Secondary arterial
331,4,Lausanne Drive & South Lausanne Drive,3,Secondary arterial
349,4,Fairmount Avenue & Ridge View Drive,4,Last crash ~5 years ago
364,4,Benson Avenue & Woodman Street,2,Last crash ~5 years ago
368,4,Flicker Street & Lisbon Street,3,Secondary arterial
381,4,Skyline Drive & South 66th Street,2,Secondary arterial
394,4,Dusk Drive & Parkside Avenue,2,Secondary arterial
400,4,Reo Drive & Roanoke Street,2,Secondary arterial
404,4,63rd Street & Imperial Avenue,0,Arterial
427,4,Reo Drive & Reo Place,2,Secondary arterial
460,4,Paradise Valley Road & Zest Street,2,Arterial
467,4,47th Street & Cereza Street,2,Secondary arterial
478,4,Euclid Avenue,1,Arterial
483,4,Bayview Heights Drive & Bayview Heights Way,3,Secondary arterial
522,4,Skyline Drive & Sychar Road,0,Secondary arterial
556,4,65th Street & Imperial Avenue,4,Arterial
569,4,54th Street & Olive Street,4,Arterial
581,4,Division Street & Paradise Road,3,Secondary arterial
594,4,Potomac Street & Reo Drive,1,Secondary arterial
596,4,Brandywood Street & Skyline Drive,3,Secondary arterial
604,4,Alta View Drive & Tooma Street,2,Secondary arterial
612,4,Brookhaven Road & South Meadowbrook Drive,1,Secondary arterial
623,4,Skyline Drive & Valencia Parkway,3,Secondary arterial
635,4,Imperial Avenue & Lisbon Street,4,Arterial
645,4,Holly Drive & South Euclid Avenue,2,Arterial
649,4,Jamie Avenue & South Woodman Street,0,Secondary arterial
672,4,East Market Street & Radio Drive,3,Secondary arterial
701,4,Boston Avenue & South 38th Street,2,4-leg intersection
713,4,South Woodman Street & Windward Street,2,Last crash ~5 years ago
730,4,Flintridge Drive & Potomac Street,1,Secondary arterial
736,4,Knollwood Road & Meadowbrook Drive,1,Secondary arterial
748,4,Imperial Avenue & Woodman Street,1,Arterial
