rank,district,name,crashes,top_reason
835,9,Cherokee Avenue & Landis Street,2,4-leg intersection
839,9,Bancroft Street & Island Avenue,3,Secondary arterial
842,9,35th Street & Madison Avenue,4,Secondary arterial
851,9,Gateway Drive & Midvale Drive,2,Transit stop 21 m away
862,9,Fairmount Avenue,3,Last crash ~5 years ago
872,9,Monroe Avenue & Winona Avenue,2,4-leg intersection
879,9,Meade Avenue & Van Dyke Avenue,2,Secondary arterial
883,9,Dayton Street & El Cajon Boulevard,0,Arterial
889,9,70th Street & Amherst Street,3,Secondary arterial
903,9,68th Street & El Cajon Boulevard,1,Arterial
904,9,58th Street,1,Arterial
909,9,41st Street & Orange Avenue,2,Secondary arterial
917,9,Dawson Avenue & El Cajon Boulevard,0,Arterial
923,9,42nd Street & Wightman Street,3,Secondary arterial
925,9,Camino del Rio South & Montezuma Road,1,Last crash ~4 years ago
935,9,Rolando Boulevard & University Avenue,2,Arterial
945,9,Fairmount Avenue,2,89 km/h speed limit
950,9,60th Street & University Avenue,0,Arterial
954,9,El Cajon Boulevard & Wilson Avenue,1,Arterial
958,9,37th Street & El Cajon Boulevard,1,Arterial
963,9,Estrella Avenue & Trojan Avenue,1,4-leg intersection
968,9,45th Street & Orange Avenue,4,Secondary arterial
993,9,46th Street & Olive Street,2,4-leg intersection
998,9,39th Street & Wightman Street,2,Secondary arterial
